Borough,Attended_College,Completed_4YRs_College,Sex,Economics_Major,Transportation_to_Work,Employment_Status,Age,Income,Education
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,30,75000,17
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,55,21600,17
Bronx,Yes,No,Female,Didn't Complete College,Subway,Employed,54,13000,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,63,14200,16
Queens,Yes,Yes,Female,Different Major,Car,Employed,59,11000,16
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,61,0,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,26,0,16
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,56,13500,12
Bronx,No,No,Female,Didn't Complete College,Car,Employed,44,9500,12
Bronx,No,No,Male,Didn't Complete College,Car,Employed,42,24000,12
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,80,13400,17
Manhattan,Yes,Yes,Male,Different Major,Not working,Unemployed,56,2000,17
Manhattan,No,No,Male,Didn't Complete College,Subway,Employed,25,40000,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,80,21100,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,71,11400,11
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,34,45080,14
Brooklyn,Yes,No,Female,Didn't Complete College,Car,Employed,32,30100,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,45,0,11
Queens,No,No,Male,Didn't Complete College,Car,Employed,49,24000,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,28,5900,12
Manhattan,Yes,Yes,Female,Different Major,Not working,Unemployed,27,0,16
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,33,400,16
Queens,Yes,Yes,Male,Different Major,Railroad,Employed,42,80000,16
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,38,51000,13
Staten Island,Yes,Yes,Male,Different Major,Car,Employed,32,129400,16
Staten Island,Yes,Yes,Female,Different Major,Not working,Not in labor force,32,20000,16
Queens,No,No,Male,Didn't Complete College,Car,Employed,59,30000,12
Manhattan,Yes,Yes,Male,Different Major,Not working,Not in labor force,78,21780,16
Queens,No,No,Male,Didn't Complete College,Car,Employed,40,30000,12
Queens,Yes,No,Female,Didn't Complete College,Subway,Employed,40,50000,14
Queens,Yes,Yes,Female,Different Major,Bus,Employed,37,68000,17
Queens,Yes,No,Male,Didn't Complete College,Worked from Home,Employed,42,40000,12
Queens,Yes,Yes,Female,Yes,Car,Employed,38,55000,16
Manhattan,Yes,Yes,Female,Different Major,Not working,Employed,39,100000,16
Manhattan,Yes,Yes,Male,Different Major,Walking,Employed,66,682000,17
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,63,0,17
Manhattan,Yes,Yes,Female,Yes,Not working,Not in labor force,27,0,16
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,69,20400,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,44,5400,12
Queens,No,No,Male,Didn't Complete College,Subway,Employed,50,13300,12
Queens,No,No,Male,Didn't Complete College,Bicycle,Employed,50,22500,11
Manhattan,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,31,0,13
Manhattan,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,26,7200,12
Manhattan,No,No,Female,Didn't Complete College,Not working,Not in labor force,50,2400,11
Staten Island,No,No,Male,Didn't Complete College,Not working,Not in labor force,77,60300,12
Staten Island,No,No,Female,Didn't Complete College,Not working,Not in labor force,76,28200,12
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,61,116800,12
Queens,No,No,Female,Didn't Complete College,Car,Employed,28,27300,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,51,16400,11
Manhattan,Yes,Yes,Female,Different Major,Ferry,Employed,41,210000,17
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,40,0,11
Bronx,No,No,Male,Didn't Complete College,Subway,Employed,59,30000,11
Bronx,No,No,Male,Didn't Complete College,Subway,Employed,55,20000,11
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,52,1400,11
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,86,0,11
Queens,Yes,No,Female,Didn't Complete College,Subway,Employed,60,12000,12
Queens,Yes,No,Male,Didn't Complete College,Subway,Employed,25,20000,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,69,54200,17
Queens,Yes,Yes,Female,Different Major,Car,Employed,32,75000,17
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,26,37900,13
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,32,0,13
Brooklyn,Yes,Yes,Male,Different Major,Not working,Employed,36,33000,16
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,90,18000,12
Queens,Yes,Yes,Female,Different Major,Not working,Employed,60,60100,17
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,70,25000,12
Queens,Yes,Yes,Female,Different Major,Not working,Employed,28,63000,17
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,48,25000,12
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Unemployed,25,0,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,66,74600,16
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,39,94000,17
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,39,35000,17
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,79,93800,17
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,62,50000,13
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,79,15600,16
Queens,No,No,Male,Didn't Complete College,Car,Employed,53,40000,12
Queens,No,No,Male,Didn't Complete College,Car,Employed,28,40000,12
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,40,48000,13
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,49,75000,13
Queens,Yes,Yes,Female,Different Major,Car,Employed,43,125000,16
Brooklyn,No,No,Male,Didn't Complete College,Not working,Employed,27,20000,12
Brooklyn,Yes,No,Female,Didn't Complete College,Car,Employed,25,20000,13
Manhattan,Yes,Yes,Female,Different Major,Car,Employed,64,31000,17
Bronx,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,69,87500,12
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,48,140000,16
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,34,0,11
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,38,22000,16
Brooklyn,Yes,Yes,Male,Yes,Subway,Employed,37,70000,17
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,72,41400,13
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,85,0,12
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,43,0,16
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,30,100000,17
Manhattan,Yes,Yes,Female,Different Major,Subway,Employed,29,120000,16
Brooklyn,Yes,Yes,Male,Different Major,Car,Employed,45,40000,16
Brooklyn,Yes,Yes,Male,Different Major,Bus,Employed,67,20000,16
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,38,108000,14
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,56,154000,17
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,56,25600,16
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,51,8500,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,73,15700,11
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,34,80000,16
Brooklyn,Yes,Yes,Male,Different Major,Not working,Unemployed,63,5000,16
Brooklyn,No,No,Male,Didn't Complete College,Car,Employed,34,20000,12
Staten Island,No,No,Male,Didn't Complete College,Not working,Not in labor force,70,21000,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,62,34500,16
Brooklyn,Yes,Yes,Male,Different Major,Worked from Home,Employed,70,90000,17
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,69,86000,14
Queens,Yes,Yes,Female,Different Major,Bus,Employed,59,50000,16
Queens,Yes,No,Female,Didn't Complete College,Not working,Unemployed,27,700,13
Queens,No,No,Male,Didn't Complete College,Car,Employed,62,15600,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,41,0,11
Queens,No,No,Male,Didn't Complete College,Bus,Employed,28,20000,12
Bronx,Yes,No,Male,Didn't Complete College,Car,Employed,49,79000,12
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,49,0,16
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,46,50000,17
Brooklyn,No,No,Male,Didn't Complete College,Bus,Employed,52,40000,12
Staten Island,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,77,28000,12
Queens,Yes,Yes,Male,Different Major,Not working,Unemployed,44,3300,16
Queens,Yes,Yes,Female,Different Major,Worked from Home,Employed,35,60000,17
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,75,12000,16
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,46,12000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,11000,12
Bronx,Yes,No,Female,Didn't Complete College,Subway,Employed,57,4800,13
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,65,72500,12
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,87,20600,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Unemployed,29,31900,16
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,49,50000,12
Manhattan,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,81,34000,12
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,78,8000,17
Brooklyn,Yes,Yes,Male,Different Major,Bicycle,Employed,26,74000,17
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,26,50000,16
Brooklyn,Yes,Yes,Male,Different Major,Bicycle,Employed,26,74000,17
Queens,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,71,82000,14
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,70,0,14
Queens,Yes,Yes,Female,Different Major,Railroad,Employed,49,111000,17
Bronx,No,No,Female,Didn't Complete College,Subway,Employed,39,23500,11
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,35,90000,14
Bronx,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,46,10100,13
Queens,Yes,Yes,Male,Different Major,Car,Employed,47,130000,16
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,41,40000,14
Queens,Yes,Yes,Female,Different Major,Car,Employed,36,115000,17
Queens,Yes,Yes,Female,Different Major,Subway,Employed,34,55000,17
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,48,55000,17
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,47,152200,16
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,72,6000,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,73,7100,11
Queens,Yes,Yes,Female,Yes,Not working,Not in labor force,45,0,16
Queens,Yes,Yes,Male,Yes,Car,Employed,43,70000,16
Manhattan,Yes,Yes,Female,Different Major,Bus,Employed,26,65000,17
Bronx,No,No,Female,Didn't Complete College,Car,Employed,62,51000,12
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,36,80000,16
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,40,52000,16
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,66,9000,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,34,9000,11
Manhattan,Yes,Yes,Male,Yes,Walking,Employed,49,80000,17
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,68,4800,11
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,45,32000,13
Queens,No,No,Male,Didn't Complete College,Car,Employed,54,32000,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,74,23900,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,66,16700,11
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,68,6300,12
Queens,Yes,Yes,Female,Different Major,Subway,Employed,36,40000,17
Queens,Yes,No,Male,Didn't Complete College,Subway,Employed,36,11500,14
Staten Island,No,No,Male,Didn't Complete College,Bus,Employed,55,88000,12
Manhattan,No,No,Female,Didn't Complete College,Subway,Employed,62,23500,11
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,29,13000,16
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,41,9100,13
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,37,117000,16
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,56,9000,11
Queens,Yes,Yes,Male,Different Major,Subway,Employed,36,105000,16
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,31,0,11
Queens,No,No,Male,Didn't Complete College,Worked from Home,Employed,30,16000,12
Queens,Yes,Yes,Male,Different Major,Car,Employed,37,230000,17
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,38,36000,12
Queens,Yes,Yes,Male,Different Major,Subway,Employed,49,74600,17
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,71,6500,12
Queens,Yes,Yes,Female,Different Major,Subway,Employed,35,13500,16
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,95,2900,11
Manhattan,Yes,Yes,Male,Different Major,Worked from Home,Employed,32,206000,16
Manhattan,Yes,Yes,Female,Different Major,Not working,Employed,31,90000,16
Queens,Yes,No,Female,Didn't Complete College,Not working,Unemployed,59,13500,12
Queens,No,No,Male,Didn't Complete College,Subway,Employed,54,100000,12
Queens,Yes,Yes,Female,Different Major,Car,Employed,42,76000,17
Queens,Yes,No,Female,Didn't Complete College,Not working,Unemployed,48,0,13
Queens,Yes,Yes,Male,Different Major,Worked from Home,Employed,51,101000,16
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,31,118000,16
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,62,8200,12
Bronx,No,No,Female,Didn't Complete College,Bus,Employed,29,24000,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,55,0,12
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Unemployed,43,7200,14
Staten Island,No,No,Female,Didn't Complete College,Car,Employed,47,50000,11
Staten Island,Yes,Yes,Male,Different Major,Car,Employed,54,167000,16
Staten Island,Yes,Yes,Male,Different Major,Car,Employed,25,76000,17
Manhattan,Yes,Yes,Female,Different Major,Railroad,Employed,34,50000,16
Manhattan,No,No,Male,Didn't Complete College,Subway,Employed,32,35000,12
Queens,Yes,Yes,Male,Different Major,Car,Employed,46,150000,16
Queens,Yes,No,Female,Didn't Complete College,Subway,Employed,44,85000,12
Queens,Yes,No,Male,Didn't Complete College,Subway,Employed,40,70000,12
Queens,Yes,Yes,Female,Different Major,Car,Employed,30,55000,17
Manhattan,Yes,Yes,Male,Yes,Subway,Employed,57,660000,17
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,56,0,16
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,95,39800,16
Staten Island,No,No,Male,Didn't Complete College,Not working,Not in labor force,77,28000,12
Staten Island,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,67,24000,14
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,38,0,16
Brooklyn,Yes,Yes,Male,Different Major,Car,Employed,44,90000,17
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,71,24300,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,79,10100,12
Manhattan,Yes,Yes,Female,Different Major,Subway,Employed,38,80000,16
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Unemployed,62,29000,13
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,42,0,11
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Unemployed,27,11300,13
Queens,Yes,Yes,Female,Different Major,Subway,Employed,26,50000,17
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,74,20000,11
Queens,No,No,Male,Didn't Complete College,Car,Employed,69,126200,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,68,13600,11
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,36,100000,14
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,31,10200,11
Queens,Yes,Yes,Female,Different Major,Subway,Employed,31,43800,16
Queens,Yes,Yes,Male,Different Major,Subway,Employed,30,70000,16
Brooklyn,No,No,Female,Didn't Complete College,Bus,Employed,28,163000,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Employed,57,24000,11
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,56,9400,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,86,0,11
Brooklyn,Yes,Yes,Female,Different Major,Worked from Home,Employed,40,12500,17
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,47,21100,12
Queens,Yes,Yes,Female,Different Major,Subway,Employed,43,178000,16
Queens,Yes,Yes,Male,Different Major,Car,Employed,48,96000,16
Bronx,Yes,No,Male,Didn't Complete College,Walking,Employed,33,55000,14
Bronx,Yes,No,Female,Didn't Complete College,Not working,Unemployed,32,15000,14
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,65,6400,12
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,36,0,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,72,12000,12
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,42,9600,12
Bronx,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,81,18700,14
Manhattan,Yes,Yes,Male,Different Major,Subway,Employed,36,100000,16
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,62,10000,16
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,67,5000,13
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,27,62000,16
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,27,65000,16
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,82,9900,17
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,40,38000,12
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,40,5000,14
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,74,19300,11
Queens,Yes,No,Male,Didn't Complete College,Walking,Employed,54,24500,13
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,60,6100,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,64,40000,12
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,62,12000,13
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,86,13000,11
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,75,47800,12
Bronx,Yes,Yes,Female,Different Major,Car,Employed,55,118000,17
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,35,80000,16
Queens,Yes,Yes,Female,Different Major,Subway,Employed,35,90300,17
Queens,Yes,No,Male,Didn't Complete College,Subway,Employed,42,95100,12
Bronx,No,No,Male,Didn't Complete College,Worked from Home,Employed,36,70000,12
Queens,Yes,Yes,Male,Different Major,Not working,Not in labor force,57,0,16
Queens,No,No,Female,Didn't Complete College,Bus,Employed,40,22800,12
Brooklyn,Yes,No,Female,Didn't Complete College,Walking,Employed,28,20000,13
Queens,Yes,Yes,Male,Different Major,Subway,Employed,48,145400,17
Queens,Yes,Yes,Female,Different Major,Subway,Employed,48,60000,17
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,65,6000,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,59,3600,12
Brooklyn,Yes,Yes,Male,Different Major,Bicycle,Employed,46,80150,17
Brooklyn,Yes,Yes,Female,Different Major,Car,Employed,45,80000,17
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,59,40000,17
Bronx,No,No,Female,Didn't Complete College,Ferry,Employed,61,31000,11
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,32,7400,11
Queens,Yes,Yes,Female,Different Major,Subway,Employed,34,70000,16
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,64,0,17
Brooklyn,Yes,No,Female,Didn't Complete College,Not working,Employed,57,12000,12
Queens,Yes,No,Female,Didn't Complete College,Car,Employed,58,63000,12
Queens,No,No,Male,Didn't Complete College,Subway,Employed,58,40000,12
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,30,32000,12
Queens,Yes,No,Male,Didn't Complete College,Bus,Employed,26,17000,13
Bronx,No,No,Female,Didn't Complete College,Subway,Employed,40,32600,11
Bronx,Yes,No,Male,Didn't Complete College,Subway,Employed,40,18700,13
Queens,Yes,Yes,Female,Different Major,Subway,Employed,49,100000,16
Queens,Yes,No,Male,Didn't Complete College,Subway,Employed,49,30000,12
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,55,9000,11
Brooklyn,Yes,Yes,Female,Different Major,Bus,Employed,34,125000,17
Brooklyn,No,No,Male,Didn't Complete College,Car,Employed,27,24000,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,64,0,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,70,62600,11
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,27,90000,16
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,72,22800,12
Brooklyn,Yes,No,Male,Didn't Complete College,Car,Employed,46,88400,13
Brooklyn,Yes,Yes,Female,Different Major,Walking,Employed,47,40000,16
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,41,165000,17
Brooklyn,No,No,Male,Didn't Complete College,Car,Employed,34,58000,12
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,33,56400,13
Bronx,Yes,No,Male,Didn't Complete College,Car,Employed,37,20000,12
Bronx,No,No,Male,Didn't Complete College,Car,Employed,39,8000,11
Bronx,Yes,Yes,Male,Different Major,Car,Employed,32,83000,17
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,30,0,11
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,38,16800,11
Brooklyn,No,No,Female,Didn't Complete College,Bus,Employed,35,6500,12
Queens,No,No,Female,Didn't Complete College,Car,Employed,74,59600,12
Queens,No,No,Male,Didn't Complete College,Not working,Not in labor force,78,92400,11
Queens,Yes,Yes,Male,Different Major,Railroad,Employed,80,88900,16
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,76,4900,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,51,14700,12
Queens,Yes,No,Female,Didn't Complete College,Not working,Not in labor force,59,18500,12
Queens,Yes,Yes,Female,Different Major,Car,Employed,61,122000,16
Queens,Yes,No,Male,Didn't Complete College,Car,Employed,63,62000,13
Queens,Yes,Yes,Female,Different Major,Car,Employed,25,35000,17
Brooklyn,Yes,Yes,Male,Different Major,Bicycle,Employed,33,68000,17
Brooklyn,Yes,Yes,Female,Different Major,Bicycle,Employed,30,50000,17
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,85,40800,12
Queens,No,No,Male,Didn't Complete College,Car,Employed,38,25000,12
Queens,Yes,No,Female,Didn't Complete College,Not working,Employed,35,8000,14
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,59,8700,12
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,41,0,16
Brooklyn,Yes,Yes,Male,Different Major,Not working,Not in labor force,72,45000,17
Brooklyn,Yes,Yes,Female,Different Major,Worked from Home,Employed,60,72000,16
Queens,No,No,Male,Didn't Complete College,Walking,Employed,65,64000,12
Queens,Yes,No,Female,Didn't Complete College,Subway,Employed,25,68000,14
Queens,Yes,Yes,Female,Different Major,Subway,Employed,25,47500,16
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Not in labor force,90,54020,14
Brooklyn,Yes,Yes,Female,Different Major,Not working,Not in labor force,57,-1600,16
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,79,2800,11
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,64,9900,11
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,41,120000,16
Brooklyn,Yes,No,Male,Didn't Complete College,Subway,Employed,36,70000,14
Brooklyn,Yes,No,Female,Didn't Complete College,Subway,Employed,41,37000,14
Bronx,Yes,No,Female,Didn't Complete College,Not working,Unemployed,47,12390,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Unemployed,36,3000,11
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,41,18000,11
Brooklyn,Yes,No,Male,Didn't Complete College,Not working,Unemployed,35,40000,12
Brooklyn,No,No,Female,Didn't Complete College,Not working,Not in labor force,43,0,11
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,77,214000,17
Manhattan,Yes,Yes,Female,Different Major,Railroad,Employed,39,135000,17
Brooklyn,Yes,Yes,Male,Different Major,Railroad,Employed,55,18000,16
Brooklyn,No,No,Male,Didn't Complete College,Subway,Employed,56,36000,11
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,27,44000,12
Queens,Yes,Yes,Female,Different Major,Not working,Not in labor force,86,34700,17
Bronx,No,No,Female,Didn't Complete College,Not working,Not in labor force,30,42900,11
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,85,27300,16
Queens,Yes,No,Female,Didn't Complete College,Bus,Employed,33,35000,12
Queens,Yes,No,Male,Didn't Complete College,Subway,Employed,37,122000,14
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,54,0,12
Manhattan,Yes,Yes,Female,Different Major,Bus,Employed,37,18870,16
Manhattan,Yes,Yes,Male,Different Major,Walking,Employed,31,155000,17
Manhattan,Yes,Yes,Female,Different Major,Walking,Employed,30,165000,16
Brooklyn,Yes,Yes,Male,Different Major,Subway,Employed,31,300400,16
Brooklyn,Yes,Yes,Female,Different Major,Subway,Employed,30,120000,16
Queens,Yes,Yes,Male,Different Major,Subway,Employed,47,40000,16
Queens,No,No,Male,Didn't Complete College,Car,Employed,64,150000,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,52,0,11
Queens,Yes,No,Female,Didn't Complete College,Subway,Employed,31,39000,13
Queens,No,No,Male,Didn't Complete College,Car,Employed,47,14000,11
Queens,No,No,Female,Didn't Complete College,Car,Employed,44,14000,11
Queens,No,No,Female,Didn't Complete College,Not working,Not in labor force,69,0,11
Queens,No,No,Male,Didn't Complete College,Bus,Employed,67,11000,11
Manhattan,Yes,Yes,Male,Different Major,Car,Employed,52,70000,16
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,40,11000,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,34,0,11
Brooklyn,No,No,Female,Didn't Complete College,Subway,Employed,40,40000,12
Brooklyn,No,No,Male,Didn't Complete College,Not working,Not in labor force,34,0,11
Queens,Yes,Yes,Male,Different Major,Car,Employed,48,384000,17
Staten Island,No,No,Male,Didn't Complete College,Not working,Not in labor force,65,28000,12
Manhattan,Yes,No,Male,Didn't Complete College,Subway,Employed,38,120000,13
Manhattan,Yes,Yes,Female,Different Major,Not working,Not in labor force,46,0,16
Queens,No,No,Male,Didn't Complete College,Not working,Unemployed,54,5000,12
Queens,Yes,No,Female,Didn't Complete College,Subway,Employed,45,80000,14
Bronx,Yes,Yes,Female,Different Major,Not working,Not in labor force,67,116000,17
Bronx,No,No,Male,Didn't Complete College,Not working,Not in labor force,75,63500,12
Bronx,Yes,Yes,Female,Different Major,Car,Employed,70,60000,16
Bronx,Yes,Yes,Male,Different Major,Car,Employed,63,78000,16
Bronx,No,No,Male,Didn't Complete College,Bus,Employed,67,52000,12
